demucs_openl3_prob,demucs_hubert_prob,label
0.22021484572404434,0.04245517856455634,0
0.22432202848927585,0.008810463003188527,0
0.8011705418357558,0.6091594678078875,1
0.13706585955476408,0.5388234373786981,1
0.6451749710600633,0.4157291742518086,1
0.7549806013059327,0.9915753260289724,1
0.13913265257844865,0.9048204892374003,0
0.013850474813344567,0.8992040220397609,0
0.5481815912941089,0.7357184894770075,1
0.737492066411746,0.9636753524116314,1
0.6286290936164243,0.9904798744909824,1
0.7446057168636032,0.2809114588094798,1
0.5739826098086306,0.6496266469540343,1
0.8191304404538243,0.9545774609376433,1
0.22981058839479834,0.13065764332661264,0
0.4841685683465967,0.006600599694473949,0
0.11060450308702306,0.0011718993407237558,0
0.34643290642568686,0.017085356861013288,0
0.362833188939658,0.1090602327031586,0
0.49966680740358355,0.20258820567871036,0
0.1413509996474329,0.12858328332578836,0
0.1619906295459275,0.1477780577484926,0
0.6114406329153148,0.9315430501552942,1
0.8355970266780677,0.984804652920647,1
0.5911296301829976,0.8667322840819283,1
0.783774282638512,0.9546878162302452,1
0.45262774904601766,0.988062031158869,1
0.6819200179509499,0.9580124050988069,1
0.6708752162212119,0.8753079994422965,1
0.8081046070173947,0.9569325116949339,1
0.6476579181265787,0.989811937540133,1
0.7078927283440585,0.9686162066746371,1
0.261936288356553,0.9073548419239121,0
0.46785141140623565,0.04070147979580088,0
0.0064877481086505215,0.021276478216371884,0
0.10885413854345644,0.0002786591129030973,0
0.03456217669514408,0.4552798863243,0
0.25557668215469836,0.0006669870499357412,0
0.052208251481242855,0.38578458878121397,0
0.4881376314514673,7.414286746183498e-05,0
0.3321769979521003,0.09997317387229772,0
0.7068088875370878,0.9183966951734167,1
0.6812659538831933,0.9909335088546052,1
0.0175330736790796,0.25534934850191393,0
0.8313194808783616,0.840692738150682,1
0.8731112790193496,0.9893884885479106,1
0.822244246875378,0.8773187475418042,1
0.5468077979630458,0.5272606452017725,0
0.13633786678102908,0.8740269244274751,0
0.040961391034811286,0.0671585958120524,0
0.02423947515150046,0.07141344102003418,0
0.3157557759798927,0.1201756589123548,0
0.07297778300304826,0.004385926864059224,0
0.675515712214738,0.9473500073822844,1
