facenet_prob,marlin_prob,senet_prob,resnet_prob,ridnet_pca_128_face_prob,ridnet_pca_128_prob,ridnet_pca_256_face_prob,ridnet_pca_256_prob,label
0.5297725872802092,0.6892335757438164,0.995475299881203,0.9378411209178603,0.9999999988993271,0.999999999174531,1.0,0.9999998725945936,1
0.5203555750319875,0.6969529806484526,0.997221281274635,0.9829062658997149,0.995956686960317,0.9944145463023885,1.0,1.0,1
0.4586623111039624,0.6378669527336782,0.9873027244693167,0.9186119850627488,0.999849921391469,0.9988514594566998,0.9999999999994806,1.0,1
0.44789491675118065,0.6089519553097075,0.9276980907643873,0.7877851490203366,0.9873219502128324,0.9742986113591923,1.0,0.9999942365340394,1
0.5429920003802046,0.507412255446475,0.905442837317907,0.6081263008724955,0.9998952260549995,0.9999153974646892,1.0,1.1490805010493522e-10,1
0.41016993480373803,0.39980853323079596,0.18394070343325641,0.8800248062735659,0.59596399538761,0.6865961068970857,1.0,1.0,1
0.5011858171428986,0.4345687237759954,0.0001332224306444537,0.018632262869299258,4.784490556853725e-13,1.6002845023116503e-11,5.656567798273692e-122,7.768581459697824e-129,0
0.4038549868640019,0.5949595607725856,0.9919039702977804,0.5423434052370251,7.227450697660183e-06,0.004479183628296312,1.2734804324641922e-64,3.740419062968652e-98,0
0.40479776860324335,0.6177130380817107,0.9134541436641087,0.5676350194540608,0.050090221125647046,0.05432950650529136,1.9101564047780058e-11,9.914989353825522e-31,1
0.44521481855366624,0.668951350214652,0.44822078166029866,0.524380839387187,0.9861629476713049,0.7986009464772468,0.9999999999999967,0.9999999995134818,1
0.5074285424792293,0.6858687264875646,0.9790032421554963,0.3111008431617424,0.9370223503310331,0.9984291096729938,1.0,1.0,1
0.450206099969808,0.6542219087724935,0.9360011112154041,0.8123065442314442,0.9178046372708528,0.842828858309013,0.9999999996941964,0.9999446001650075,1
0.5456301889803992,0.467665833558513,0.23333196524019237,0.19664079550148464,0.03634847826506331,0.03639218660194736,1.7584073084764656e-07,6.828347778418316e-16,0
0.4313264624653142,0.21895220116315933,0.065638664368421,0.7765449191552086,0.00832771361675218,0.18228168853482268,3.4343200740717216e-45,1.6764755993174803e-21,0
