fold,split,video_id,aug_idx,true_label,pred_label,prob_fake
1,avdeepfake,gjCwsdCssdk_00006,2,0,1,0.5480654835700989
1,avdeepfake,hJnEQCMA5Sg_00001,1,0,1,0.541298508644104
1,avdeepfake,gzcwS02ZB1o_00015,1,0,1,0.5418233871459961
1,avdeepfake,gzcwS02ZB1o_00010,1,0,1,0.5297567248344421
1,avdeepfake,h0dSQDgl3gI_00012,1,0,1,0.5515300035476685
1,avdeepfake,hBOVuIIQUFc_00003,0,0,1,0.5695533752441406
1,avdeepfake,gzcwS02ZB1o_00019,8,0,1,0.5289621949195862
1,avdeepfake,gjCwsdCssdk_00014,0,0,1,0.6362101435661316
1,avdeepfake,gjfYohXoiz0_00001,0,0,1,0.5650187134742737
1,avdeepfake,gzcwS02ZB1o_00005,1,0,1,0.5018783807754517
1,avdeepfake,ggPh4X7UKwY_00005,3,0,1,0.5050098299980164
1,avdeepfake,gdg4mUSwuhI_00002,1,0,1,0.6253035068511963
1,avdeepfake,goiyLgCzgSI_00017,0,0,1,0.5902252793312073
1,avdeepfake,h27g5iT0tck_00023,0,0,1,0.551345944404602
1,avdeepfake,h7u6NScSWtY_00017,1,0,1,0.6498586535453796
1,avdeepfake,hDLISEt8hBs_00002,11,0,1,0.6073036193847656
1,avdeepfake,hJnEQCMA5Sg_00006,0,0,1,0.576851487159729
1,avdeepfake,gzcwS02ZB1o_00022,1,0,1,0.5325976610183716
1,avdeepfake,h0dSQDgl3gI_00008,7,0,1,0.5657414197921753
1,avdeepfake,hFkI69zJzLI_00002,10,0,1,0.7227091193199158
1,avdeepfake,gjCwsdCssdk_00020,0,0,1,0.6017571687698364
1,avdeepfake,gv1ApCmctVQ_00002,6,0,1,0.5134741067886353
1,avdeepfake,hBOVuIIQUFc_00006,11,0,1,0.5606303811073303
1,avdeepfake,gjCwsdCssdk_00007,3,0,1,0.5952267050743103
1,avdeepfake,gzcwS02ZB1o_00010,1,0,1,0.5297567248344421
1,avdeepfake,goiyLgCzgSI_00007,8,0,1,0.7063088417053223
1,avdeepfake,h7u6NScSWtY_00021,1,0,1,0.6735540628433228
1,avdeepfake,hJnEQCMA5Sg_00010,0,0,1,0.554135262966156
1,avdeepfake,gzcwS02ZB1o_00022,0,0,1,0.5350366234779358
1,avdeepfake,h0dSQDgl3gI_00005,11,0,1,0.6126126646995544
1,avdeepfake,gtDS5rzd6R8_00006,7,0,1,0.8019121885299683
1,avdeepfake,gzcwS02ZB1o_00015,0,0,1,0.5364434719085693
1,avdeepfake,h27g5iT0tck_00027,1,0,1,0.5246893763542175
1,avdeepfake,gzcwS02ZB1o_00010,1,0,1,0.5297567248344421
1,avdeepfake,gjCwsdCssdk_00020,2,0,1,0.6200863122940063
1,avdeepfake,hBOVuIIQUFc_00003,1,0,1,0.5735942721366882
1,avdeepfake,gdg4mUSwuhI_00002,13,0,1,0.6121735572814941
1,avdeepfake,h0dSQDgl3gI_00007,0,0,1,0.5508044958114624
1,avdeepfake,hJnEQCMA5Sg_00008,6,0,1,0.554741621017456
1,avdeepfake,hBOVuIIQUFc_00012,0,0,1,0.6364777088165283
1,avdeepfake,h7u6NScSWtY_00007,9,0,1,0.6536231637001038
1,avdeepfake,gzcwS02ZB1o_00006,6,0,1,0.6761292815208435
1,avdeepfake,h7u6NScSWtY_00010,1,0,1,0.5166255235671997
1,avdeepfake,golS4kh8ETY_00007,4,0,1,0.5257962346076965
1,avdeepfake,hBOVuIIQUFc_00002,7,0,1,0.79091876745224
1,avdeepfake,ggPh4X7UKwY_00014,3,0,1,0.5813087224960327
1,avdeepfake,gzcwS02ZB1o_00017,1,0,1,0.5350167751312256
1,avdeepfake,gqpErbFnbiY_00029,2,0,1,0.6915066242218018
1,avdeepfake,gv1ApCmctVQ_00002,6,0,1,0.5134741067886353
1,avdeepfake,gzcwS02ZB1o_00024,6,0,1,0.6237589120864868
1,avdeepfake,gjCwsdCssdk_00020,0,0,1,0.6017571687698364
1,avdeepfake,gjCwsdCssdk_00014,0,0,1,0.6362101435661316
1,avdeepfake,goiyLgCzgSI_00001,4,0,1,0.548254132270813
1,avdeepfake,goiyLgCzgSI_00001,3,0,1,0.5792514085769653
1,avdeepfake,goiyLgCzgSI_00017,3,0,1,0.6074275374412537
1,avdeepfake,hBOVuIIQUFc_00003,1,0,1,0.5735942721366882
1,avdeepfake,golS4kh8ETY_00007,3,0,1,0.5293684601783752
1,avdeepfake,hBOVuIIQUFc_00003,1,0,1,0.5735942721366882
1,avdeepfake,gqpErbFnbiY_00012,2,0,1,0.5001375079154968
1,avdeepfake,gjCwsdCssdk_00014,0,0,1,0.6362101435661316
1,avdeepfake,gzcwS02ZB1o_00018,0,0,1,0.5756428837776184
1,avdeepfake,hJnEQCMA5Sg_00005,0,0,1,0.573957622051239
1,avdeepfake,gqpErbFnbiY_00002,5,1,0,0.48644116520881653
1,avdeepfake,gzcwS02ZB1o_00013,1,0,1,0.5898179411888123
1,avdeepfake,gj3ZnKlHqxI_00021,4,0,1,0.5439462065696716
1,avdeepfake,hJnEQCMA5Sg_00001,0,0,1,0.5315776467323303
1,avdeepfake,h7u6NScSWtY_00007,11,0,1,0.6373510360717773
1,avdeepfake,gzcwS02ZB1o_00024,9,0,1,0.6288650035858154
1,avdeepfake,gjCwsdCssdk_00006,3,0,1,0.547272801399231
1,avdeepfake,hBOVuIIQUFc_00002,10,0,1,0.5648807287216187
1,avdeepfake,gdg4mUSwuhI_00005,2,0,1,0.6440858244895935
1,avdeepfake,h0dSQDgl3gI_00007,1,0,1,0.5549890398979187
1,avdeepfake,h7qKzqQnjXw_00002,0,0,1,0.5644472241401672
1,avdeepfake,gjCwsdCssdk_00020,3,0,1,0.6123945116996765
1,avdeepfake,hBOVuIIQUFc_00003,1,0,1,0.5735942721366882
1,avdeepfake,golS4kh8ETY_00007,2,0,1,0.5670283436775208
1,avdeepfake,hJnEQCMA5Sg_00002,0,0,1,0.510959804058075
1,avdeepfake,gtDS5rzd6R8_00006,10,0,1,0.70877605676651
1,avdeepfake,hBOVuIIQUFc_00007,0,0,1,0.5830672979354858
1,avdeepfake,hBOVuIIQUFc_00003,0,0,1,0.5695533752441406
1,avdeepfake,h0dSQDgl3gI_00008,9,0,1,0.568469226360321
1,avdeepfake,gzcwS02ZB1o_00022,1,0,1,0.5325976610183716
1,avdeepfake,hJnEQCMA5Sg_00010,0,0,1,0.554135262966156
1,avdeepfake,gdg4mUSwuhI_00002,10,0,1,0.6539990901947021
1,avdeepfake,ggPh4X7UKwY_00014,5,0,1,0.5889668464660645
1,avdeepfake,gzcwS02ZB1o_00005,1,0,1,0.5018783807754517
1,avdeepfake,hBOVuIIQUFc_00012,1,0,1,0.6551772356033325
1,avdeepfake,goiyLgCzgSI_00017,0,0,1,0.5902252793312073
1,avdeepfake,gtDS5rzd6R8_00004,0,0,1,0.6412558555603027
1,avdeepfake,goiyLgCzgSI_00014,9,0,1,0.6482369899749756
1,avdeepfake,gzcwS02ZB1o_00019,10,0,1,0.523716151714325
1,avdeepfake,gzcwS02ZB1o_00006,9,0,1,0.6992388963699341
1,avdeepfake,gjCwsdCssdk_00006,3,0,1,0.547272801399231
1,avdeepfake,gj3ZnKlHqxI_00021,1,0,1,0.5236629843711853
1,avdeepfake,h27g5iT0tck_00034,5,0,1,0.5695850849151611
1,avdeepfake,h7u6NScSWtY_00019,7,0,1,0.6112293601036072
1,avdeepfake,hFkI69zJzLI_00003,1,0,1,0.7396538257598877
1,avdeepfake,hBOVuIIQUFc_00007,1,0,1,0.5877297520637512
1,avdeepfake,h0dSQDgl3gI_00005,11,0,1,0.6126126646995544
1,avdeepfake,h7qKzqQnjXw_00004,6,0,1,0.6002017259597778
1,avdeepfake,gzcwS02ZB1o_00022,0,0,1,0.5350366234779358
1,avdeepfake,goiyLgCzgSI_00007,8,0,1,0.7063088417053223
1,avdeepfake,h7qKzqQnjXw_00004,7,0,1,0.6008197665214539
1,avdeepfake,gjfYohXoiz0_00002,4,0,1,0.5983263850212097
1,avdeepfake,hBOVuIIQUFc_00007,0,0,1,0.5830672979354858
1,avdeepfake,gtDS5rzd6R8_00006,11,0,1,0.7111331820487976
1,avdeepfake,hJnEQCMA5Sg_00008,0,0,1,0.5614124536514282
1,avdeepfake,goiyLgCzgSI_00014,2,0,1,0.6372606754302979
1,avdeepfake,h27g5iT0tck_00023,11,0,1,0.5476855635643005
1,avdeepfake,h7u6NScSWtY_00001,11,0,1,0.6421127915382385
1,avdeepfake,golS4kh8ETY_00007,3,0,1,0.5293684601783752
1,avdeepfake,gjCwsdCssdk_00008,2,0,1,0.6266497373580933
1,avdeepfake,gzcwS02ZB1o_00015,1,0,1,0.5418233871459961
1,avdeepfake,h0dSQDgl3gI_00008,6,0,1,0.560284435749054
1,avdeepfake,hFkI69zJzLI_00004,3,0,1,0.7751097083091736
1,avdeepfake,gzcwS02ZB1o_00022,1,0,1,0.5325976610183716
1,avdeepfake,h0dSQDgl3gI_00007,1,0,1,0.5549890398979187
1,avdeepfake,gzcwS02ZB1o_00017,0,0,1,0.5314546227455139
1,avdeepfake,goiyLgCzgSI_00006,1,0,1,0.6084770560264587
1,avdeepfake,gzcwS02ZB1o_00015,1,0,1,0.5418233871459961
